 -464323,46	-1230024,46 -464270,1	-1229900,14  0
-464462,18	200	-1230204,25
-464478,91	200	-1230196,19
-464275,52	200	-1229967,1
-464255,89	200	-1229719,74
-464478,72	200	-1230196,36
-464479,5	200	-1230197,83
-464462,97	200	-1230205,93
-464461,93	200	-1230204,37
-464460,32	200	-1230202,35
-464454,11	200	-1230195,55
-464461,16	200	-1230189,18
-464464,41	200	-1230185,3
-464473,29	200	-1230181,24
-464442,02	200	-1230177,46
-464439,64	200	-1230179,87
-464447,21	200	-1230172,35
-464450,35	200	-1230169,49
-464454,41	200	-1230166,12
-464464,58	200	-1230162,19
-464431,83	200	-1230167,89
-464437,84	200	-1230161,35
-464441,88	200	-1230157,18
-464444,97	200	-1230154,6
-464448,99	200	-1230151,87
-464458,03	200	-1230147,3
-464419,26	200	-1230153,06
-464426,26	200	-1230147,09
-464432,43	200	-1230142,22
-464434,65	200	-1230140,06
-464442,1	200	-1230135,78
-464424,42	200	-1230014,99
-464416,47	200	-1230030,77
-464411,34	200	-1230041,3
-464404,8	200	-1230054,29
-464397,36	200	-1230068,34
-464390,79	200	-1230081,5
-464388,01	200	-1230086,89
-464383,45	200	-1230096,08
-464379,18	200	-1230106,95
-464374,04	200	-1230120,74
-464370,22	200	-1230134,15
-464403,4	200	-1230034,91
-464353,03	200	-1230074
-464359,96	200	-1230068,01
-464367,09	200	-1230061,65
-464374,28	200	-1230055,19
-464376,43	200	-1230056,57
-464376,16	200	-1230049,57
-464300,24	200	-1230053,2
-464331,03	200	-1230047,77
-464341,36	200	-1230045,89
-464352,75	200	-1230043,85
-464364,68	200	-1230041,7
-464374,59	200	-1230039,9
-464328,24	200	-1230030,13
-464335,57	200	-1230024,42
-464321,15	200	-1230036,37
-464314,37	200	-1230029,76
-464312,46	200	-1230026,25
-464323,61	200	-1230024,64
-464330,24	200	-1230018,42
-464322,35	200	-1230019,34
-464312,08	200	-1230021,03
-464339,14	200	-1230020,55
-464346,99	200	-1230015,6
-464354,9	200	-1230011,08
-464310,61	200	-1230015,1
-464307,93	200	-1230007,51
-464291,19	200	-1230024,64
-464294,67	200	-1230028,63
-464317,98	200	-1229999,54
-464315,75	200	-1229989,52
-464323,83	200	-1229981,39
-464288,08	201	-1230011,4
-464284,9	201	-1230009,98
-464316,66	200	-1229939,9
-464308,4	200	-1229956,79
-464301,27	200	-1229972
-464301,41	200	-1229977,57
-464303,66	200	-1229992,34
-464294,03	200	-1229954,71
-464290,9	200	-1229973,53
-464318,72	200	-1229800,33
-464314,19	200	-1229825,14
-464309,37	200	-1229839,04
-464302,55	200	-1229858,18
-464293,65	200	-1229887,54
-464286,81	200	-1229905,22
-464282,85	200	-1229919,01
-464278,15	200	-1229931,12
-464265,95	200	-1229966,34
-464318,78	200	-1229877,79
-464343,09	200	-1229913,79
-464328,01	200	-1229967,41
-464339,92	200	-1229934,27
-464346,23	200	-1229921,81
-464356,43	200	-1229915,69
-464353,34	200	-1229907,53
-464367,53	200	-1229897,48
-464374,08	200	-1229902,48
-464321,13	200	-1230013,41
-464332,08	200	-1229992,8
-464341,14	200	-1229988,29
-464377,16	200	-1230015,74
-464386,4	200	-1230012,25
-464395,96	200	-1230008,88
-464385,51	200	-1229985,06
-464376,24	200	-1229989,41
-464366,78	200	-1229993,87
-464354,67	200	-1229970,93
-464365,51	200	-1229966,22
-464375,07	200	-1229962,09
-464364,72	200	-1229939,29
-464355,82	200	-1229943,19
-464346,66	200	-1229947,12
-464270,19	200	-1229900,34
-464259,48	200	-1229901,15
-464260,72	200	-1229906,41
-464266,12	200	-1229917,6
-464259,71	200	-1229893,29
-464269,48	200	-1229893,25
-464279,42	200	-1229892,88
-464279,47	200	-1229876,86
-464268,53	200	-1229877,8
-464258,5	200	-1229878,65
-464257,11	200	-1229856,76
-464266,57	200	-1229855,68
-464276,21	200	-1229854,67
-464285,73	200	-1229853,11
-464301,09	200	-1229820,18
-464290,35	200	-1229825,12
-464280,28	200	-1229827,75
-464274,16	200	-1229829,8
-464264,6	200	-1229829,88
-464255	200	-1229830,55
-464253	200	-1229804,68
-464262,52	200	-1229803,9
-464274,25	200	-1229802,87
-464283,5	200	-1229800,81
-464291,13	200	-1229797,98
-464291,26	200	-1229771,32
-464281,61	200	-1229776,19
-464269,77	200	-1229780,44
-464260,92	200	-1229781,23
-464251,21	200	-1229780,93
-464248,63	200	-1229750,24
-464258,24	200	-1229750,17
-464262,73	200	-1229749,57
-464269,04	200	-1229747,6
-464279,06	200	-1229743,86
-464265,39	200	-1229717,75
-464265,32	200	-1229714,38
-464246,33	200	-1229721,75
-464246,7	200	-1229725,02
