 -464323,46	-1230024,46 -464270,1	-1229900,14  0
-464462,18	257,03	-1230204,25
-464478,91	258,67	-1230196,19
-464275,52	230,05	-1229967,1
-464255,89	230,64	-1229719,74
-464478,72	258,72	-1230196,36
-464479,5	258,75	-1230197,83
-464462,97	256,91	-1230205,93
-464461,93	256,98	-1230204,37
-464460,32	256,79	-1230202,35
-464454,11	256,42	-1230195,55
-464461,16	256,72	-1230189,18
-464464,41	256,82	-1230185,3
-464473,29	257,78	-1230181,24
-464442,02	256,07	-1230177,46
-464439,64	254,25	-1230179,87
-464447,21	255,93	-1230172,35
-464450,35	256,26	-1230169,49
-464454,41	255,82	-1230166,12
-464464,58	253,53	-1230162,19
-464431,83	251,24	-1230167,89
-464437,84	251,02	-1230161,35
-464441,88	250,76	-1230157,18
-464444,97	250,54	-1230154,6
-464448,99	249,39	-1230151,87
-464458,03	248,92	-1230147,3
-464419,26	244,92	-1230153,06
-464426,26	244,75	-1230147,09
-464432,43	245,21	-1230142,22
-464434,65	244,76	-1230140,06
-464442,1	244,83	-1230135,78
-464424,42	230,71	-1230014,99
-464416,47	230,27	-1230030,77
-464411,34	230,27	-1230041,3
-464404,8	230	-1230054,29
-464397,36	229,73	-1230068,34
-464390,79	229,63	-1230081,5
-464388,01	229,53	-1230086,89
-464383,45	229,45	-1230096,08
-464379,18	229,29	-1230106,95
-464374,04	229,12	-1230120,74
-464370,22	228,95	-1230134,15
-464403,4	229,73	-1230034,91
-464353,03	231,02	-1230074
-464359,96	231,09	-1230068,01
-464367,09	231,07	-1230061,65
-464374,28	230,92	-1230055,19
-464376,43	231,24	-1230056,57
-464376,16	231,02	-1230049,57
-464300,24	227,56	-1230053,2
-464331,03	227,73	-1230047,77
-464341,36	227,86	-1230045,89
-464352,75	228	-1230043,85
-464364,68	228,17	-1230041,7
-464374,59	228,34	-1230039,9
-464328,24	230,6	-1230030,13
-464335,57	230,71	-1230024,42
-464321,15	230,5	-1230036,37
-464314,37	230,29	-1230029,76
-464312,46	230,28	-1230026,25
-464323,61	230,57	-1230024,64
-464330,24	230,75	-1230018,42
-464322,35	230,5	-1230019,34
-464312,08	230,51	-1230021,03
-464339,14	230,91	-1230020,55
-464346,99	231	-1230015,6
-464354,9	231,22	-1230011,08
-464310,61	230,38	-1230015,1
-464307,93	228,38	-1230007,51
-464291,19	228,17	-1230024,64
-464294,67	230,01	-1230028,63
-464317,98	230,68	-1229999,54
-464315,75	229,12	-1229989,52
-464323,83	230,51	-1229981,39
-464288,08	228,77	-1230011,4
-464284,9	230,18	-1230009,98
-464316,66	230,45	-1229939,9
-464308,4	230,4	-1229956,79
-464301,27	230,26	-1229972
-464301,41	229,19	-1229977,57
-464303,66	228,86	-1229992,34
-464294,03	229,89	-1229954,71
-464290,9	230	-1229973,53
-464318,72	227,86	-1229800,33
-464314,19	227,66	-1229825,14
-464309,37	227,81	-1229839,04
-464302,55	227,52	-1229858,18
-464293,65	227,36	-1229887,54
-464286,81	227,34	-1229905,22
-464282,85	227,24	-1229919,01
-464278,15	227,23	-1229931,12
-464265,95	227,21	-1229966,34
-464318,78	230,48	-1229877,79
-464343,09	228,84	-1229913,79
-464328,01	230,53	-1229967,41
-464339,92	230,59	-1229934,27
-464346,23	230,74	-1229921,81
-464356,43	230,88	-1229915,69
-464353,34	228,9	-1229907,53
-464367,53	228,84	-1229897,48
-464374,08	231,24	-1229902,48
-464321,13	230,58	-1230013,41
-464332,08	230,87	-1229992,8
-464341,14	230,95	-1229988,29
-464377,16	231,66	-1230015,74
-464386,4	231,9	-1230012,25
-464395,96	232,16	-1230008,88
-464385,51	231,86	-1229985,06
-464376,24	231,6	-1229989,41
-464366,78	231,39	-1229993,87
-464354,67	231,06	-1229970,93
-464365,51	231,3	-1229966,22
-464375,07	231,5	-1229962,09
-464364,72	231,16	-1229939,29
-464355,82	230,92	-1229943,19
-464346,66	230,73	-1229947,12
-464270,19	230,54	-1229900,34
-464259,48	230,31	-1229901,15
-464260,72	230,42	-1229906,41
-464266,12	230,46	-1229917,6
-464259,71	230,32	-1229893,29
-464269,48	230,43	-1229893,25
-464279,42	230,58	-1229892,88
-464279,47	230,57	-1229876,86
-464268,53	230,23	-1229877,8
-464258,5	230,08	-1229878,65
-464257,11	230,23	-1229856,76
-464266,57	230,35	-1229855,68
-464276,21	230,49	-1229854,67
-464285,73	230,8	-1229853,11
-464301,09	231,24	-1229820,18
-464290,35	230,83	-1229825,12
-464280,28	230,71	-1229827,75
-464274,16	230,54	-1229829,8
-464264,6	230,33	-1229829,88
-464255	230,16	-1229830,55
-464253	230,12	-1229804,68
-464262,52	230,25	-1229803,9
-464274,25	230,44	-1229802,87
-464283,5	230,69	-1229800,81
-464291,13	230,78	-1229797,98
-464291,26	230,51	-1229771,32
-464281,61	230,44	-1229776,19
-464269,77	230,22	-1229780,44
-464260,92	230,07	-1229781,23
-464251,21	230,09	-1229780,93
-464248,63	230,42	-1229750,24
-464258,24	230,35	-1229750,17
-464262,73	230,29	-1229749,57
-464269,04	230,35	-1229747,6
-464279,06	230,5	-1229743,86
-464265,39	230,69	-1229717,75
-464265,32	230,64	-1229714,38
-464246,33	230,71	-1229721,75
-464246,7	230,66	-1229725,02
